Picture,fx,fy,Lv,CCT
R,0.619,0.356,13.67,   -1
G,0.311,0.628,35.62,   -1
B,0.148,0.071,6.08,   -1
C,0.212,0.293,41.25,   -1
M,0.294,0.157,19.14,   -1
Y,0.439,0.522,48.69, 3722
1,0.513,0.364,2.21,   -1
2,0.443,0.374,23.63, 2635
3,0.226,0.215,10.94,   -1
4,0.379,0.476,6.59, 4559
5,0.267,0.222,16.71,   -1
6,0.297,0.434,40.72, 6655
7,0.557,0.411,19.65,   -1
8,0.171,0.130,2.44,   -1
9,0.589,0.346,10.41,   -1
A,0.302,0.196,1.56,   -1
B,0.390,0.561,41.83, 4617
C,0.534,0.437,23.04,   -1
D,0.155,0.085,2.02,   -1
E,0.325,0.575,16.01, 5747
F,0.613,0.356,8.26,   -1
G,0.466,0.498,37.93, 3220
H,0.422,0.237,9.75,   -1
I,0.194,0.227,13.80,   -1
W,0.300,0.307,54.49, 7591
K,0.299,0.306,51.63, 7660
L,0.299,0.307,25.47, 7646
M,0.300,0.308,10.14, 7591
N,0.299,0.311,2.11, 7562
O,0.291,0.333,0.53, 7785
